,agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
26161,26161,2270,2354,8,5,MANDATORY,2937485
23610,23610,1554,216,7,3,MANDATORY,462161
14625,14625,150,976,7,1,MANDATORY,669432
28320,28320,2173,924,8,4,MANDATORY,3748916
7185,7185,1935,84,7,0,MANDATORY,5484083
22359,22359,228,2354,7,3,MANDATORY,1841475
16459,16459,1196,897,8,1,MANDATORY,4615260
9424,9424,34,2023,7,4,MANDATORY,1208980
11529,11529,2536,2059,8,2,MANDATORY,1927754
15795,15795,1513,2354,8,3,MANDATORY,2775879
20961,20961,1734,2354,7,0,MANDATORY,2989129
17767,17767,904,2354,8,0,MANDATORY,2073848
7016,7016,135,84,7,5,MANDATORY,4047707
24524,24524,1516,684,7,1,MANDATORY,4939349
19503,19503,183,2354,7,4,MANDATORY,5486124
29133,29133,2355,177,8,1,MANDATORY,2029317
27959,27959,2355,1988,7,4,MANDATORY,4844521
22110,22110,1922,2354,8,1,MANDATORY,248174
204,204,2355,2575,7,2,MANDATORY,1962923
16617,16617,1448,2354,7,3,MANDATORY,3983197
11174,11174,1371,1619,7,2,MANDATORY,2394684
15707,15707,1499,2354,8,4,MANDATORY,3563499
1249,1249,2424,2264,7,3,MANDATORY,3898406
20804,20804,1163,2354,7,2,MANDATORY,3563834
23781,23781,1183,2354,7,0,MANDATORY,824874
23140,23140,777,2354,7,3,MANDATORY,462385
21166,21166,948,2354,8,4,MANDATORY,669651
18526,18526,1884,2105,8,5,MANDATORY,3735887
17476,17476,2131,578,8,0,MANDATORY,7323013
10574,10574,514,1542,7,4,MANDATORY,1632371
12101,12101,1422,1542,7,4,MANDATORY,3320613
16524,16524,1415,2354,8,3,MANDATORY,398171
10254,10254,363,2583,8,2,MANDATORY,2611892
7924,7924,1299,2431,7,5,MANDATORY,3249616
12951,12951,102,84,8,1,MANDATORY,158752
7653,7653,1873,84,8,0,MANDATORY,5219196
1354,1354,2424,2113,7,4,MANDATORY,7725021
